sentence,theme,confidence,report_year,source_file
One young scientist from Andaman & Nicobar Regional Station participated in Indian Antarctic Expedition.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Thirty four publications in the form of books, journals, pictorial handbooks, state fauna volumes, ecosystem studies & wetland fauna have been published.",biodiversity,0.4,2008-09,moefcc_2008_09.pdf
"One International Symposium was conducted at ZSI, Solan, Himachal Pradesh, in collaboration with Jawaharlal Nehru University (JNU), New Delhi and one National Symposium was conducted at Andaman & Nicobar Regional Station, Port Blair, on Present Status of Biodiversity in India.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Projects related to Post Tsunami analysis of Coral reef, damage caused and Assessment of Status of Coral Reef have been taken up by scientists of ZSI, Port Blair.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Zooplankton diversity, density and distribution were studied in eight stations Andaman Sea during September 10-20, 2008 by National Institute for Ocean Technology (NIOT) Research Vessel ORV Fig-12.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Bar headed goose 21 Sagar Manjusha as a collaborative venture between Andaman and Nicobar Regional Station Zoological Survey of India (ANRS-ZSI), Port Blair and National Institute of Ocean Technology (NIOT), Chennai.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Animal Discoveries   2008 by Hon'ble President of India   Faunal Diversity of Andaman & Nicobar (Hindi) by Hon'ble Minister of State, MoEF.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Andaman & Nicobar Islands Forest and Andaman & Nicobar Islands Forest and Plantation Development Corporation Limited Plantation Development Corporation Limited (ANIFPDCL) is a Government of India Public Sector Undertaking, created in 1977 with the broad objectives of development and managing forestry plantations on the Islands.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The proposal has been sent to the Principal Chief Conservator of Forests, Andaman & Nicobar Forest Department for their comments.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"However, there was reduction in the area in Andaman and Nicobar Islands from 658 sq. km. to 637 sq. km.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"This is mainly because of the tsunami that hit Andaman & Nicobar Islands on December 26, 2004.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The four major coral reefs areas identified for intensive conservation & management are: i) Gulf of Mannar, ii) Gulf of Kachchh, iii) Lakshadweep and iv) Andaman and Nicobar Islands.",biodiversity,0.4,2008-09,moefcc_2008_09.pdf
"A seminar on status and protection of Coral Reefs was organized by the Ministry jointly with NIO, Goa from January 21 to 23, 2008 at Kadamat Island, Lakshadweep.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The proposals in respect of Kanchanjunga (Sikkim), Manas (Assam) and Great Nicobar (Andaman & Nicobar Islands) are under active consideration of the UNESCO for inclusion in the world Network.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Infrastructure development As part of the efforts towards building infrastructure by way of some enabling activities (peripheral access road and irrigation pipeline), work on construction of a WBM layered road (2.69 kms long) and laying of an irrigation pipeline in the garden was initiated.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"This Act deals with grant of forestry clearances for diversion of forest lands for non-forestry purposes in respect of development projects like power, roads, railways, irrigation, mining, schools, defence, drinking water, resettlement & rehabilitation of people etc.",water_conservation,0.4,2008-09,moefcc_2008_09.pdf
"These include the projects for power generation, irrigation, construction of roads, railway lines, transmission lines, drinking water supply projects, village electricity, schools, hospitals etc.",water_conservation,0.4,2008-09,moefcc_2008_09.pdf
"Further, to boost the development of underdeveloped area including tribal areas, general approval under Section-2 of the Forest (Conservation) Act, 1980 has been accorded for underground laying of electric cable and wires to individual household, drinking water supply/water pipelines, telephone lines which involve felling of trees not exceeding 50 numbers Forest Conservation Objective Activities undertaken Ministry of Environment and Forests 61 concluded that State Level CAMPAs be constituted and model guidelines be prepared for adoption by the State/UT Governments.",water_conservation,0.4,2008-09,moefcc_2008_09.pdf
"Dr. R.K.Pachauri, Director General, TERI was the Key Note Speaker on March 21, 2008 and Dr. Anil Joshi, Padam Shree was the Key Note Speaker on March 21, 2009.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Training Programme on Wetland Conservation and Management for Northern Region, Srinagar, (June 16-20, 2008.)",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Rs.93 lakh each has been released to Corbett, Ranthambhore and Dudhwa Reintroduction of Tigers in Sariska Tiger Reserve Reintroduction of Tigers in Panna Tiger Reserve Creation of Special Tiger Protection Force (STPF) Annual Report 2008-09 Chapter 2 80 (J&K) and Dampa (Mizoram).",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"As per the provisions of the EIA Notification 2006 and the operating guidelines issued by the Ministry from time to time, ninety three meetings of the Expert Appraisal Committees were convened by the Ministry during this year for appraisal of projects from sectors of industry, thermal power, infrastructure, river valley, mining and construction.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The CMZ area is classified as CMZ-I which is ecologically sensitive area, CMZ-II areas of particular concern, CMZ-III open areas including the coastal waters upto territorial limits and CMZ-IV Islands of Andaman & Nicobar Islands, Lakshadweep, offshore islands and islands in coastal backwaters.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
b) Adopt  best practice  norms for infrastructure construction in mountain regions to avoid or minimize damage to sensitive ecosystems and despoiling of landscapes.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"CHAPTER-4 ABATEMENT OF POLLUTION 98 Control of Pollution Introduction Control of Air Pollution The concern for environmental quality has become the top most issue in the present scenario of increasing urbanization, industrial and vehicular pollution as well as pollution of water courses due to discharge of effluents without conforming to the environmental norms and standards.",water_conservation,0.4,2008-09,moefcc_2008_09.pdf
"Realizing this trend of pollution in various environmental media like air, water, soil etc., the Ministry adopted a policy for abatement of pollution in 1992, which provides multi-pronged strategies in the form of regulations, legislations, agreements, fiscal incentives and other measures to prevent and abate pollution.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"To give effect to various measures and policies for pollution control, various steps have been initiated which include stringent regulations, development of environmental standards, control of vehicular pollution, control of air & water pollution, spatial environmental planning etc.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The issues considered by the Authority include environment related matters covering vehicular pollution control, sewage treatment and assessment of operations and handing over of Common Effluent Treatment Plants (CETPs) in National Capital Region (NCR) to the concerned societies, monitoring of action plans for improvement of air quality in seven metro cities etc. and in addition, the matters referred to it by Hon'ble Supreme Court in its various judgements.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"On the whole, through these revised guidelines, an attempt has been made to bring in synergy in requirements between the three Environmental Acts, viz the Water (Prevention and Control of Pollution) Act 1974, the Air (Prevention and Control of Pollution) Act 1981 and the Environment (Protection) Act 1986.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"While the recognition of the environmental laboratories under the Air Act and the Water Act are considered by the respective State Pollution Control Boards, the labs under the provisions of Section 12 and 13 of E(P)A 1986 are considered by the Ministry of Environment and Forests (MoEF) and Central Pollution Control Board.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
Wastewater Common Effluent Treatment Plants (CETPs) Ministry of Environment and Forests 105 treatment and water conservation are the prime objectives of the CETP.,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
It was also envisaged that burden of various Government authorities working for controlling pollution and monitoring of water pollution could be reduced once the C E T Ps a,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
The Eco-cities Project aims at improving the existing environment and at changing those aspects that are causing environment damage.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The focus of the project includes protection of environmental resources like water bodies, forests etc., improving infrastructure and sanitary conditions in the towns and creating aesthetic environs.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
The project in Kottayam is aimed at rejuvenating Mundar River and Kacherikadavu Boat Jetty and Canal that have severe siltation and pollution problems.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The Project in Ujjain is aimed at improvement around Mahakal Temple and cleaning of Rudra Sagar lake, which is highly silted and polluted with sewage.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"In Thanjavur towns, the activity on 'Renovation of old tanks' has been proposed to be taken up to protect presently used and potentially useable aquifers from further degradation and to facilitates the rainwater harvesting system.",water_conservation,0.4,2008-09,moefcc_2008_09.pdf
The proposed study is for (i) reduction in gaseous/fugitive emissions (ii) reduction in dust emissions (iii) reduction of manual intervention to prevent spills (iv) reduction in water consumption and usage by recycle/reuse techniques and (v) performance evaluation of existing ETP and study the various processes in the industry and to prescribe waste minimization procedures to reduce the pollution load.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
The proposed project is for (i) reduction in water consumption and usage by recycle/reuse (ii) up-gradation of existing ETP to meet the standards stipulated by APPCB (iii) Handling and disposal of ETP sludge/Boiler Ministry of Environment and Forests 109 Ash and study the various processes in the industry and to prescribe waste minimization procedures to reduce the pollution load.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Since the inception of the scheme in 1994, activities undertaken include (i) Carrying Capacity Studies in various parts of the country namely Greater Kochi Region, Doon Valley, Damodar River Basin, Tapi Estuary and National Capital Region (NCR); (ii) Natural Resource Accounting Studies for Upper Yamuna Basin; (iii) Life Cycle Assessment (LCA) Studies in Thermal Power Plants, Steel, Pulp and Paper and Cement (from cradle to gate).",water_conservation,0.4,2008-09,moefcc_2008_09.pdf
"Recycling of Marble Slurry Waste for environmental improvement in Rajasthan   Bio-remediation of Railadevi Lake in Thane District, Maharashtra   Development of Adhesive from Biomaterials Activities undertaken and completed Progress/ Achievements Annual Report 2008-09 Chapter 4 112   R&D application in Technology Upgradation of CETP in Tannery Cluster in Dindigul, Tamil Nadu.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Bio-remediation of Railadevi Lake, Thane, Maharashtra",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The ongoing demonstration project relating to cleaning of Railadevi Lake in Thane District of Maharashtra, using bioremediation technique has been completed.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
The project envisages development of domestic units in the form of a portable unit to meet the drinking water needs of a small family of five for a period of one month.,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
"Defluoridation of water using natural materials for better drinking water supply in rural regions by Jawaharlal Nehru University, New Delhi and Annamalai University, Tamil Nadu.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
The proposal is eco-friendly fluoride removal technology developed already will be established and standardized on a large scale to cater the fresh water needs of the affected villagers.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Computer numerical controlled eco-friendly welding machine 114 technology to be developed will also contribute to minimize air, soil and water pollution.",eco_friendly_practices,0.4,2008-09,moefcc_2008_09.pdf
"The objective of the project is to up-scaling of the pilot developments, demonstration of technology and dissemination, reduce the pollution with recovery of energy from tannery wastewater and waste fleshing by applying Upflow Anaerobic Sludge Blanket (EASB) as an integrated system, increase efficiency of anaerobic process in treating tannery wastewater along with biologically liquefied fleshing, reduce green house emission from degradable waste, reduce Total Dissolved Solid (TDS) in the wastewater by recovering elemental sulphur from sulphate, convert biogas into electrical energy.",water_conservation,0.6,2008-09,moefcc_2008_09.pdf
Water Cess is levied on water consumed by persons carrying on certain industries with a view to augment the resources of Central Pollution Control Board (CPCB) and State Pollution Control Boards (SPCBs) and Pollution Control Committees (PCCs) for UTs for the prevention and control of water pollution.,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
"The urban environmental degradation, through lack of (or inappropriate) waste treatment and sanitation, industry and transport related pollution, has adverse impacts on air, water, and soil quality, and thus pose health related disease to the urban poor.",soil_health,0.6,2008-09,moefcc_2008_09.pdf
"The Central Pollution Control Board (CPCB) performs functions as laid down in The Water (Prevention & Control of Pollution) Act, 1974, and The Air (Prevention and Control of Pollution) Act, 1981 and is responsible for planning and executing comprehensive nation wide programme for the prevention and control of water and air pollution, for advising the Central Government on matters concerning prevention and control of water and air pollution and for coordinating activities of State Pollution Control Boards and providing technical assistance & guidance to State Pollution Control Boards.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
i t y f o r Environmental Protection (CREP) for 17 major polluting industrial sectors and monitoring its implementation through eight task forces and steering committees   Action plans for improvement of environment in 24 critically polluted areas and monitoring progress   Action plans for improvement of air quality in 16 polluted cities and monitoring progress   National water quality monitoring and publishing annual water quality reports   National ambient air quality monitoring and publishing annual water quality reports   Carrying out and sponsoring research activities relevant to environment protection   Publishing material relevant to environment protection Comprehensive Industry Document on Sponge Iron Industry CPCB undertook the study to develop 'National Environmental Standards' and prepare 'Guidelines / Code of Practice' for prevention and control of pollution in Sponge Iron Plants.,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
"Bacteriological Standards for Treated Sewage CPCB in collaboration with IIT, Roorkee and Anna University, Channai has undertaken the study reduction of coliform in conventional treatment technologies being adopted in lndia.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
This study includes Sewage Treatment Plants (STPs) with different technologies in north and south India.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Environnent Surveillance Squad (ESS) Programme Under Environment Surveillance Squad (ESS) programme one hundred fifty nine industrial units have been inspected and 37 directions under Section 5 of the Environment (Protection) Act, 1986 to industrial units and 30 directions under Section 18(1)(b) of the Water Act/ Air Act to various State Pollution Control Boards/Pollution Control Committees have been issued requiring them to take action as per the directions for prevention and control of pollution in their respective States/ UTs.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Pre-mixed oil dispensers, adulteration of fuels, fuel testing laboratory, vehicle technology, emission warranty for vehicles, setting up of CNG outlets, conversion of public transport fleet to CNG mode, construction of ISBTs, sewage treatment and common effluent treatment plants.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The districtSpatial Environmental Planning Ministry of Environment and Forests 123 Agro-climatic Regions Central Pollution Control Board has undertaken a project comprising three years network study at seven centres spread over different climatic zones in association with four key Agricultural Universities/Institutes to evaluate effects on soil of the current practices for achieving zero discharges by distilleries by utilization of distillery effluent as a source of nutrients and water, including effects of chloride and fixed dissolved solids in spent wash on crop yields, salt accumulation in soil and its leaching requirements for movements of salts in the soil and possible contamination of ground water.",soil_health,0.4,2008-09,moefcc_2008_09.pdf
"The study indicates that it is possible to determine the BOD load of waste water collected from various sources with the help of the developed BOD Biosensor, however, individual membranes may be used for specific wastewater.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
Eco Bio Block (EBB) for Treatment of Wastewater 'Eco-Bio Block' (EBB) Treatment is a technology which use microorganism embedded in a porous concrete block to treat wastewater.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"It is used for cleaning polluted water sources such as wastewater drains, polluted rivers, ponds, lakes etc.",water_conservation,0.6,2008-09,moefcc_2008_09.pdf
"Central Pollution Control Board is providing necessary guidance to the official of Gujarat Pollution Control Board (GPCB), Gujarat Environmental Management Institute (GEMI), Pollution Control Committee of Daman-Diu & Dadra Nagar Haveli (DDPCC), Maharashtra Pollution Control Board (MPCB), other Institutes and Universities operating National Air Monitoring Programme (NAMP), National Water Monitoring Programme (NWMP) stations.",water_conservation,0.6,2008-09,moefcc_2008_09.pdf
Toxicity of sewage mixed with electroplating waste water The industrial effluent is generally discharged into drain or sewage system which creates complication in the sewage treatment.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
Polyaromatic Hydrocarbons (PAHs) Determination in Potable Water at Water Treatment Plants of Delhi PAHs are affect hormonal and reproduction system and are able to depress immune function.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
Volatile Organic Compounds (VOCs) in Drinking Water by Purge & Trap PreConcentration followed by GC-MS Analysis VOCs are carbon-containing compounds that readily evaporate at normal air temperature.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The project study is under taken for standardization of methodology and assessment of levels of 68 Volatile Organic Compounds (VOCs) in Surface Water, Drinking Water and Ground Water by Purge & Trap pre-concentration followed by GC-MS analysis.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Groundwater Fluoride contamination in Birbhum and Purulia, West Bengal Some districts of West Bengal are reportedly affected with chemical substances such as metals and fluoride.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
There is lack of awareness about groundwater quality particularly in rural areas and people are using groundwater for drinking and cooking without knowing its quality.,water_conservation,0.6,2008-09,moefcc_2008_09.pdf
The study on groundwater contamination undertaken by Central Pollution Control Board indicated that fluoride is predominant in ground water in a large part of Birbhum district and few areas in Purulia.,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
The overall characterization of groundwater in Purulia Birbhum reveals that the Chloride concentration is also quite high in few bore wells.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Pesticide Residue Monitoring in Ground Water at National Capital Region Department of Agriculture and Cooperation (DAC), Ministry of Agriculture, New Delhi and the All India Network Project (AINP) on Pesticide Residues, Indian Agricultural Research Institute New Delhi sponsored a project to Central Pollution Control Board.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Hazardous Waste Generation / Generating Units Inventory As per directives of the Hon'ble Supreme Activities in Hazardous Waste Management wastewater from CETPs inlet (at Ankleshwar & Panoli), FETP and Amlakhadi (natural drain mostly carrying domestic/industrial effluent from Ankleshwar which meets estuarine portion of Narmada River).",water_conservation,0.6,2008-09,moefcc_2008_09.pdf
"Inspections at eighty eight Nos. of actual user industries in Gujarat, Maharashtra and UT of Daman and Dadra & Nagar Haveli were carried out during the year.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"CPCB is regularly monitoring three STPs in Haryana, one STP in Delhi, seven Oxidation pond based STPs located at Agra, Etawah, Mathura and Vrindavan and one UASB based STP located at Agra, STPs installed along the stretch of river Ganga from Allahabad to Tarighat (Gazipur), two STPs at Rishikesh and one STP at Haridwar are also being monitored regularly to evaluate the performance of STPs under NRCD Project.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Observing non-compliance by majority of CETPs, directions under Section 18(1)(b) of the Water Act 1974 have been issued to twelve State Pollution Control Boards / Pollution Control Committees to carry out regular monitoring at least every quarter, take Sewage Treatment Performance Monitoring of STPs Common Effluent Treatment Plants Performance Monitoring of CETP's Annual Report 2008-09 Chapter 4 130 action and send report to CPCB.",water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Ground Water Monitoring around Municipal Solid Waste Landfills Central Pollution Control Board has taken up the scheme for monitoring of groundwater quality in and around existing landfills of Bhalswa (Delhi) and Bhandewadi (Nagpur) in association with NEERI-Nagpur.,water_conservation,0.6,2008-09,moefcc_2008_09.pdf
"Analytical Quality Control (AQC-Water) for Laboratories of Pollution Control Boards / Committees and EPA Recognised Laboratories Central Pollution Control Board is monitoring through water quality monitoring stations under GEMS, MINARS, GAP and YAP Programmes comprising rivers, lakes, wells, and ground waters through various SPCBs.",water_conservation,0.8,2008-09,moefcc_2008_09.pdf
"Water quality of a large number of rivers covered in major, medium and minor basins categories is observed.",water_conservation,0.4,2008-09,moefcc_2008_09.pdf
The water quality of selected rivers viz.,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
CPCB is monitoring water quality of rivers at interstate borders.,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
The monitoring is carried out four times in a year at seventy one locations spread over thirty six rivers.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
It is observed that twenty four rivers at thirty six locations are polluted with respect to Biochemical Oxygen Demand (BOD).The concerned SPCBs/PCCs were requested to take remedial measures to restore water quality of identified polluted rivers at interstate borders.,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Water Quality at a glance Inter State River Water Quality Monitoring National Air Quality Monitoring Programme Evaluation & Recognition of Environmental Laboratories has been revised and circulated to all SPCBs/PCCs for inviting comments.,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Nationwide water quality is being monitored regularly under National Water Quality Monitoring Programme (NWMP) through a network of water quality monitoring comprising one thousand three hundred sixty five stations in twenty seven States and six Union Territories by CPCB in collaboration with concerned SPCBs/PCCs.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"The monitoring network covers seven hundred seventy three stations on two hundred eighty two Rivers, one hundred stations on ninety two Lakes, twenty one stations on ten Canals, nine stations on Tanks, thirty four stations on Ponds, twelve stations on Creeks, nineteen Canals, eighteen stations on Drains and three hundred ninety eight stations on Ground Water.",water_conservation,0.4,2008-09,moefcc_2008_09.pdf
The water quality data are reported in Water Quality Status Year Book.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
The water quality monitoring trend between 1995 to 2007 indicated that the organic and bacterial contamination are continued to be National Water Quality Monitoring Programme (NWMP) Annual Report 2008-09 Chapter 4 134 Ministry of Environment and Forests Fig-44 (c).,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
Water Quality of River Beas Fig-44 (b).,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Water Quality of River Yamuna (Lower Stretch) Fig-44 (a).,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Water Quality of River Yamuna (Upper Stretch) 135 Annual Report 2008-09 Chapter 4 Fig-44 (f).,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Water Quality of River Brahmputra Fig-44 (e).,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Water Quality of River Satluj (Lower Stretch) Fig-44 (d).,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Water Quality of River Satluj (Upper Stretch) 136 Ministry of Environment and Forests Fig-44 (h).,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Water Quality of River Mahanadi Fig-44 (g).,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Water Quality of River Godavari Fig-44 (i).,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
"Water Quality of River Narmada 137 Thirty new air quality stations were sanctioned during year 2007-08 in cities like Srinagar, Ladakh, Una, Sunder Nagar, Dharamshala, Manali Rudrapur, Kashipur, Haldwani, Rishikesh, Haridwar etc.",water_conservation,0.4,2008-09,moefcc_2008_09.pdf
"Some of the important issues which were deliberated during the meeting are:   Coordination and Cooperation among Basel, Rotterdam and Stockholm Conventions.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Besides, granting authorization, the State Boards or the Committees are responsible for monitoring the compliance of the Standards regarding ground water, ambient air, incineration standards, leachate quality and the compost quality, as specified under the said Schedules.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
"Financial assistance has also been provided for setting up a Solid Waste Management Ministry of Environment and Forests 143 Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade   The Fourth Conference of Parties for the Rotterdam Convention was held during October 27 to 31, 2008 at FAO Headquarter in Rome, Italy.",eco_friendly_practices,0.4,2008-09,moefcc_2008_09.pdf
"CHAPTER - 5 CONSERVATION OF WATER BODIES 146 National River Conservation Directorate National River Conservation Plan (NRCP) Introduction and Objectives The National River Conservation Directorate (NRCD), functioning under the Ministry of Environment and Forests is engaged in implementing the River and Lake Action Plans under the National River Conservation Plan (NRCP) & National Lake Conservation Plan (NLCP) by providing financial assistance to the State Governments.",water_conservation,0.6,2008-09,moefcc_2008_09.pdf
"The objective of National River Conservation Plan (NRCP) is to improve the water quality of the rivers, which are the major water sources in the country, through the implementation of pollution abatement works, to the level of designated best use.",water_conservation,0.8,2008-09,moefcc_2008_09.pdf
"So far, a total of thirty six rivers have been covered under the programme.",water_conservation,0.2,2008-09,moefcc_2008_09.pdf
The rivers are: The important works being taken up under the NRCP include:   Interception and diversion works to capture the raw sewage flowing into the river through open drains and divert them for treatment.,water_conservation,0.4,2008-09,moefcc_2008_09.pdf
Setting up Sewage Treatment Plants for treating the diverted sewage.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
Construction of Low Cost Sanitation toilets to prevent open defecation on river banks.,water_conservation,0.2,2008-09,moefcc_2008_09.pdf
